model_name,data_file,trained_at,training_duration,num_layers,layer_sizes,learning_rate,epochs,batch_size,test_size,num_features,num_outputs,mae,rmse,r2,mape,max_error,median_ae,val_loss_best,best_epoch,inference_time_ms,activation,loss_function,optimizer,dropout_rate,early_stopping,batch_norm
model_2D_002__250512_123735,2D_002.csv,2025-05-12 12:37:35,209.765617,2,"[64, 32]",0.0001,200,32,0.2,6,1,0.0612219387656923,0.1484723702233718,0.9874362753806906,16591.345991748272,3.255687009390428,0.0368771643800708,0.0181766077876091,56,0.0282505594943779,"<LeakyReLU name=leaky_re_lu, built=True>",mse,RMSprop,0.1,True,False
model_2D_002__250512_123817,2D_002.csv,2025-05-12 12:38:17,41.525625,2,"[128, 64]",0.01,200,32,0.2,6,1,0.0639649768478875,0.2009586020987522,0.976983444673124,4767.612432031122,3.4678993797701985,0.0084078857053005,0.0615845136344432,2,0.0339523949732761,relu,mae,RMSprop,0.2,True,False
model_2D_002__250512_124024,2D_002.csv,2025-05-12 12:40:24,125.791154,3,"[256, 128, 64]",0.0001,50,64,0.2,6,1,0.098513115159827,0.3353248222383174,0.9359146838229352,23713.88802025878,5.26465059429033,0.0176900187532045,0.0934653580188751,49,0.0573250626110406,"<LeakyReLU name=leaky_re_lu, built=True>",mae,Adamax,0.5,True,False
model_2D_002__250512_125604,2D_002.csv,2025-05-12 12:56:04,937.667272,4,"[256, 128, 64, 32]",0.005,30,16,0.2,6,1,0.0239704600222867,0.0735072023792711,0.9969204524541756,1072.2878084864706,1.607581195871273,0.0052033965289594,0.0049249562434852,15,0.0634763440809684,swish,mse,Adamax,0.1,True,False
model_2D_002__250512_125853,2D_002.csv,2025-05-12 12:58:53,168.730027,1,[64],0.005,200,8,0.2,6,1,0.2282723764551124,0.640344717010623,0.7663021123215753,24848.45403489813,7.74255586772783,0.0543297934153402,0.1017278060317039,2,0.0323904547297569,"<LeakyReLU name=leaky_re_lu, built=True>",huber,Adam,0.5,True,False
model_2D_002__250512_130315,2D_002.csv,2025-05-12 13:03:15,260.45159,3,"[512, 256, 128]",0.0005,50,16,0.2,6,1,0.0193893311806365,0.0714697464516714,0.997088802912828,294.6232660817599,1.7693722358308577,0.0011186393953345,0.0188796184957027,11,0.0496950909563332,relu,mae,Adamax,,True,False
model_2D_002__250512_130718,2D_002.csv,2025-05-12 13:07:18,240.678013,2,"[64, 32]",0.0005,100,16,0.2,6,1,0.0393186285717216,0.0952463206437546,0.9948296071647544,5736.324209842979,2.3140194526277327,0.0183258019747921,0.0038974718190729,12,0.0570879980523585,relu,huber,Adam,0.3,True,False
model_2D_002__250512_131820,2D_002.csv,2025-05-12 13:18:20,660.534357,4,"[256, 128, 64, 32]",0.0001,50,16,0.2,6,1,0.0403247487385152,0.0939426402574062,0.9949701776192008,18681.32033323549,2.209136258658006,0.0177881925386468,0.0035852873697876,36,0.0684036465843633,"<LeakyReLU name=leaky_re_lu, built=True>",huber,Adamax,0.1,True,False
model_2D_002__250512_132104,2D_002.csv,2025-05-12 13:21:04,162.199204,3,"[512, 256, 128]",0.001,30,64,0.2,6,1,0.0347607159649513,0.1119837953236036,0.9928527744104032,738.8645160357175,2.613193761404588,0.0041536270747969,0.03306245803833,13,0.0470286030063925,relu,mae,Nadam,0.5,True,False
model_2D_002__250512_132433,2D_002.csv,2025-05-12 13:24:33,207.554346,3,"[128, 64, 32]",0.0005,100,32,0.2,6,1,0.0456394593791723,0.1395230461194672,0.9889052115939856,2979.742564012721,3.070283185537889,0.0074910250617051,0.0431521125137805,29,0.0388895862651441,relu,mae,RMSprop,0.5,True,False
model_2D_002__250512_133201,2D_002.csv,2025-05-12 13:32:01,447.676176,2,"[128, 64]",0.01,30,8,0.2,6,1,0.0320787467651977,0.0962979745086206,0.9947147999531164,7934.735184650505,2.6023867240510725,0.0128983023926214,0.0314688570797443,25,0.0468370202155699,"<LeakyReLU name=leaky_re_lu, built=True>",mae,Adamax,,True,False
model_2D_002__250512_133651,2D_002.csv,2025-05-12 13:36:51,286.534465,3,"[256, 128, 64]",0.01,100,32,0.2,6,1,0.2667190928156314,0.4450121662052558,0.8871319832513122,131794.34352859066,4.991104852255418,0.2001758971874551,0.1791978478431701,22,0.1025727181203338,swish,mse,Nadam,0.3,True,False
model_2D_002__250512_133823,2D_002.csv,2025-05-12 13:38:23,90.257827,4,"[256, 128, 64, 32]",0.01,30,64,0.2,6,1,0.122396191877799,0.2274549980004611,0.970513848418309,63109.06828835564,3.575267372171321,0.094085866263703,0.0206646993756294,5,0.0742089758371243,swish,huber,Adam,0.2,True,False
model_2D_002__250512_134030,2D_002.csv,2025-05-12 13:40:30,125.354051,2,"[128, 64]",0.0005,200,64,0.2,6,1,0.051062697366493,0.1258237933670723,0.9909769643390351,12127.124423289975,2.797319661673143,0.0269313921787331,0.0133310202509164,28,0.0415157199671743,"<LeakyReLU name=leaky_re_lu, built=True>",mse,RMSprop,0.2,True,False
model_2D_002__250512_134121,2D_002.csv,2025-05-12 13:41:21,49.880513,1,[64],0.01,50,64,0.2,6,1,0.0366127852437663,0.0873982202518874,0.9956465626086995,16303.56110653546,2.100770246084764,0.0174776629927757,0.0033144084736704,7,0.0454608027400744,relu,huber,Adamax,0.1,True,False
model_2D_002__250512_134259,2D_002.csv,2025-05-12 13:42:59,96.734954,2,"[64, 32]",0.01,200,32,0.2,6,1,0.0768461653125857,0.2922256495852358,0.95132972606167,1134.2712666767668,5.739631425436571,0.0175919592204578,0.021237090229988,5,0.0478618360966369,tanh,huber,Nadam,0.2,True,False
model_2D_002__250512_134854,2D_002.csv,2025-05-12 13:48:54,352.909453,3,"[128, 64, 32]",0.0005,200,16,0.2,6,1,0.0382424058594496,0.090075091750871,0.995375800615061,18773.069491181905,2.212506543692186,0.0173227448036727,0.007010094821453,14,0.0926288587511412,swish,mse,Nadam,0.2,True,False
model_2D_002__250512_135107,2D_002.csv,2025-05-12 13:51:07,130.655379,2,"[256, 128]",0.0005,30,64,0.2,6,1,0.0325398198680621,0.0845879014077703,0.9959220337598588,6196.791696584317,1.9922402015291,0.0140822415304322,0.0030936240218579,23,0.0790055376803472,swish,huber,RMSprop,0.2,True,False
model_2D_002__250512_135225,2D_002.csv,2025-05-12 13:52:25,76.067666,2,"[128, 64]",0.0005,200,64,0.2,6,1,0.0306782297264713,0.0796267876502393,0.9963863547458882,6989.231526594191,1.940154325064256,0.0144315591784879,0.0051427851431071,14,0.0625374419053676,swish,mse,RMSprop,,True,False
