model_name,data_file,num_layers,layer_sizes,learning_rate,epochs,batch_size,training_duration,trained_at,mae,rmse,r2,test_size,random_seed,activation,loss_function,optimizer,dropout_rate,early_stopping,scaler_type,train_size,num_parameters
model_2D_002__250409_222129,2D_002.csv,3,"[128, 128, 64]",0.0005,150,64,299.053828,2025-04-09 22:21:29,0.0209906322010385,0.0729694304254064,0.9969653470041052,0.2,42,relu,mse,Adam,,,StandardScaler,0.8,25729.0
model_2D_002__250409_222524,2D_002.csv,3,"[256, 256, 128]",0.0005,50,32,234.312997,2025-04-09 22:25:24,0.0221973786888101,0.0732043949565905,0.9969457721268866,0.2,42,relu,mse,Adam,,,StandardScaler,0.8,100609.0
model_2D_002__250409_222617,2D_002.csv,3,"[128, 64, 32]",0.0001,50,128,53.0799,2025-04-09 22:26:17,0.0413368830835878,0.0772104449735603,0.9966023453306352,0.2,42,relu,mse,Adam,,,StandardScaler,0.8,11265.0
model_2D_002__250409_222904,2D_002.csv,3,"[128, 128, 64]",0.01,150,128,166.925145,2025-04-09 22:29:04,0.0344769133287955,0.0770391729667571,0.9966174023014528,0.2,42,relu,mse,Adam,,,StandardScaler,0.8,25729.0
model_2D_002__250409_223728,2D_002.csv,2,"[64, 64]",0.0005,150,32,503.178294,2025-04-09 22:37:28,0.0250858784158269,0.0723449024046647,0.9970170704566342,0.2,42,relu,mse,Adam,,,StandardScaler,0.8,4673.0
model_2D_002__250409_224658,2D_002.csv,3,"[128, 128, 64]",0.0001,150,32,569.518157,2025-04-09 22:46:58,0.0216597775113381,0.0714772221351513,0.9970881938627822,0.2,42,relu,mse,Adam,,,StandardScaler,0.8,25729.0
model_2D_002__250409_224749,2D_002.csv,2,"[128, 64]",0.0001,50,128,50.867938,2025-04-09 22:47:49,0.0288676068684567,0.0720784557431737,0.9970390022854442,0.2,42,relu,mse,Adam,,,StandardScaler,0.8,9217.0
model_2D_002__250409_230628,2D_002.csv,2,"[256, 128]",0.0005,150,16,1119.422576,2025-04-09 23:06:28,0.0242985655238856,0.0741311912480881,0.9968679471378884,0.2,42,relu,mse,Adam,,,StandardScaler,0.8,34817.0
model_2D_002__250409_230941,2D_002.csv,3,"[128, 64, 32]",0.01,100,64,192.247939,2025-04-09 23:09:41,0.0323578113690297,0.0781537627634543,0.9965188165532192,0.2,42,relu,mse,Adam,,,StandardScaler,0.8,11265.0
model_2D_002__250409_231116,2D_002.csv,2,"[32, 32]",0.001,100,128,94.651143,2025-04-09 23:11:16,0.0268335614557236,0.0736009108104652,0.9969125957135184,0.2,42,relu,mse,Adam,,,StandardScaler,0.8,1313.0
model_2D_002__250409_231644,2D_002.csv,2,"[32, 16]",0.001,50,16,328.413917,2025-04-09 23:16:44,0.032362573754626,0.0756348663555741,0.9967395975338352,0.2,42,relu,mse,Adam,,,StandardScaler,0.8,769.0
model_2D_002__250409_231732,2D_002.csv,2,"[32, 32]",0.001,50,128,48.033563,2025-04-09 23:17:32,0.0334225939246356,0.0794265539871347,0.996404506015832,0.2,42,relu,mse,Adam,,,StandardScaler,0.8,1313.0
